customerid,product_name,signup_date,channel,first_activation_date,first_purchase_date,cancel_date,
9059978095643230,QuickBooks,6/21/21,PPC,6/21/21,,,
9059978095913820,Mailchimp,6/25/21,PPC,6/26/21,,,
9130350795302030,,6/1/21,PPC,,,,
9130350795888320,,6/1/21,Direct,,,,
9130350796379850,Mailchimp,6/1/21,Direct,7/1/21,7/9/21,8/10/21,
9130350796482860,Mint,6/1/21,Other,6/1/21,6/21/21,,
9130350796495850,QuickBooks,6/1/21,Other,7/1/21,7/9/21,,
9130350796861170,Mailchimp,6/1/21,SEO,6/1/21,,,
9130350797000050,QuickBooks,6/1/21,Sales,6/1/21,,,
9130350797155480,Mailchimp,6/1/21,PPC,6/1/21,,,
9130350797186000,Mailchimp,6/1/21,Sales,6/1/21,,,
9130350797369090,Mint,6/1/21,Direct,6/1/21,6/13/21,10/1/21,
9130350797374240,QuickBooks,6/1/21,PPC,6/2/21,,,
9130350797439240,,6/1/21,Direct,,,,
9130350798213820,Mint,6/1/21,Other,6/1/21,6/12/21,,
9130350798523390,Mailchimp,6/1/21,Sales,6/1/21,6/10/21,7/1/21,
9130350798839170,Mailchimp,6/1/21,Sales,6/1/21,,7/1/21,
9130350798856650,TurboTax,6/1/21,Sales,6/1/21,,7/1/21,
9130350798971610,QuickBooks,6/1/21,PPC,6/1/21,,,
9130350799213350,,6/1/21,Direct,,,,
9130350799329930,TurboTax,6/1/21,Other,7/2/21,7/24/21,,
9130350799994740,Mint,6/1/21,Direct,6/3/21,6/11/21,,
9130350800060000,,6/1/21,PPC,,,,
9130350800266180,QuickBooks,6/1/21,SEO,6/13/21,7/7/21,,
9130350800270780,QuickBooks,6/1/21,PPC,6/2/21,,8/1/21,
9130350800371000,,6/1/21,Direct,,,,
9130350803147730,,6/2/21,Direct,,,,
9130350803351360,Mint,6/2/21,Other,6/3/21,,,
9130350803488370,,6/2/21,Other,,,,
9130350803706000,Mint,6/2/21,SEO,6/2/21,6/25/21,,
9130350803818740,,6/2/21,Direct,,,,
9130350803868090,,6/2/21,Sales,,,,
9130350803929840,Mint,6/2/21,Other,7/8/21,,,
